1.000000000000000000e+00,1.000000000000000082e-05
1.056934553557988377e+00,1.081603630310709413e-05
1.117110650504824054e+00,1.169866413101308149e-05
1.180712846666190030e+00,1.265331759388942887e-05
1.247936205471311233e+00,1.368587424502517739e-05
1.318986896198670156e+00,1.480269126739510142e-05
1.394082826282578180e+00,1.601064461318317894e-05
1.473454309619835367e+00,1.731717133723352834e-05
1.557344772926134491e+00,1.873031538506438325e-05
1.646011502308550645e+00,2.025877711735017084e-05
1.739726432343801532e+00,2.191196687578147241e-05
1.838776980082327484e+00,2.370006292009330286e-05
1.943466926536020933e+00,2.563407409296515038e-05
2.054117348353064809e+00,2.772590759860481179e-05
2.171067602537265273e+00,2.998844231231030804e-05
2.294676367231936354e+00,3.243560807235811494e-05
2.425322741760353118e+00,3.508247144239788390e-05
2.563407409296515116e+00,3.794532847236942478e-05
2.709353865732051503e+00,4.104180502904709518e-05
2.863609718508115964e+00,4.439096531392166557e-05
3.026648059395691703e+00,4.801342923653454964e-05
3.198968915434536875e+00,5.193149936590212571e-05
3.381100782480684686e+00,5.616929824163804122e-05
3.573602246065787469e+00,6.075291689016077101e-05
3.777063694539367411e+00,6.571057546036270392e-05
3.992109129748052432e+00,7.107279696773411630e-05
4.219398080805025764e+00,7.687259521663736294e-05
4.459627626819092860e+00,8.314567805772063902e-05
4.713534534786909092e+00,8.993066723187614258e-05
4.981897519205162439e+00,9.726933615426178170e-05
5.265539630332757071e+00,1.052068671023622786e-04
5.565330778427647118e+00,1.137921293915315036e-04
5.882190401699957327e+00,1.230779802506665817e-04
6.217090286163828416e+00,1.331215902504307683e-04
6.571057546036271901e+00,1.439847952876007983e-04
6.945177773823695944e+00,1.557344772926135099e-04
7.340598369757211472e+00,1.684429760042315200e-04
7.758532060787835860e+00,1.821885343465166982e-04
8.200260619934130801e+00,1.970557801501800427e-04
8.667138797389231542e+00,2.131362471841437593e-04
9.160598475443707756e+00,2.305289387051708309e-04
9.682153059967083308e+00,2.493409369951880578e-04
1.023340212191641818e+01,2.696880626390692486e-04
1.081603630310709896e+01,2.916955876018796070e-04
1.143184250129149682e+01,3.154990064958088374e-04
1.208270935044776628e+01,3.412448707852889693e-04
1.277063301308644050e+01,3.690916910662778183e-04
1.349772330233942519e+01,3.992109129748053426e-04
1.426621015260737657e+01,4.317879727332021378e-04
