READ,SERR,1,2,,,
@ajello_LoNLoS_LAT_1D,,,,,,
!,,,,,,
109,15,15,23.76,1.785,1.785,0
139,15,20.5,23.96,5.795,5.795,0
180,20.5,41.5,20.41,3.885,3.885,0
263,41.5,61,13.83,2.595,2.595,0
385,61,61,9.783,2.8905,2.8905,0
